,PC1,PC2,PC3,PC4,PC5,PC6
Days_Since_Last_Purchase,-0.23040281944540753,-0.012272186870619503,0.23333947930110477,-0.11996330366003224,-0.08236534492348122,-0.3782631374330769
Total_Transactions,0.372347756538377,0.014527377091875028,-0.3801644228197939,-0.07439654827725524,-0.0022806275606361906,-0.15075347924133936
Total_Products_Purchased,0.4379123831987277,0.0032959708468858215,-0.08793809340464137,-0.034842198655846854,0.038757026966108395,-0.07846047187847488
Total_Spend,0.4574919542604596,0.0043287988291267785,-0.08149692888202364,-0.018593286777249713,0.038919089802293125,-0.0854416659559525
Average_Transaction_Value,0.22892856157533925,-0.02707643751220876,0.6485726623800209,0.0665762077160896,0.13017010885557692,0.15084501092600988
Unique_Products_Purchased,0.35122513419304136,0.06074304230197055,-0.13628722261587714,-0.2577098313722493,-0.0692446961173913,-0.01787956369347107
Average_Days_Between_Purchases,-0.039413640218652846,-0.02714647755750356,-0.23965150030472993,0.5624095421788042,0.38345817781675456,0.5211188541723596
Day_Of_Week,-0.022865776089053318,0.9953358046579694,0.03919103825925466,0.061055850791313565,0.04326642258036223,-0.02232886615194591
Hour,-0.02617148701999033,0.05745270715746506,-0.017255225704235187,-0.5514366394603135,-0.31897417564815783,0.7150153137989735
Is_UK,0.002285553120927655,0.007450166128782806,-0.017853546828406765,-0.011324010938058359,-0.0024382097698794967,0.012049231516186261
Monthly_Spending_Mean,0.32929825330808493,-0.017919862623209774,0.5327639374263149,0.05162877964224915,0.08694845813506888,0.10580629814449304
Monthly_Spending_Std,0.34667836974035643,0.006456335648814478,-0.041059849709786544,0.25388260679095476,-0.21223482640828664,0.05168700586693474
Spending_Trend,-0.006962995892036233,-0.006039586512736967,-0.048203118061942204,-0.46508354314932143,0.8155909378211842,-0.018388219620422735
